ime,delodajalec,opis,kategorija,regija
Produktni vodja ,Spintec d.o.o.,Imate izkušnje v igralniškem okolju ter z igrami na živih mizah? Bi želeli prispevati k razvoju novih iger in analizirati trende v svetu igralništva? Poznate dobro psihologijo igralcev in njihove želje? Če ste se našli v opisu in imate obenem nekaj tehnične žilice  vas vabimo  da se pridružite naši ekipi.,upravljanje-svetovanje-vodenje,obalna
Vodja pisarne  v Mengšu,Trenkwalder d.o.o.,Naš partner  Porton Pharma Solutions Ltd. je v farmacevtski industriji uveljavljeno podjetje  ki kot pogodbeni partner zagotavlja inovativne  zanesljive in celovite storitve raziskav in razvoja ter proizvodnje. Si želite delovati v hitro rastočem dinamičnem okolju in vas veseli delo z mednarodno ekipo? Povežite se z nami!,upravljanje-svetovanje-vodenje,gorenjska
Vodja prodaje na spletnih tržnica,D4 WEB D.O.O.,vne naloge: Strateško in operativno upravljanje v naprej določenih nalog  organizacija  vodenje pogajanj in implementacija novih tržnic ...,upravljanje-svetovanje-vodenje,gorenjska
Direktor komerciale za Adria regijo ,HSG KARIERA,Za našega naročnika  mednarodno modno podjetje  ki ponuja več kot 20 blagovnih znamk  iščemo direktorja komerciale (Adria regija).,upravljanje-svetovanje-vodenje,gorenjska
Operativni direktor ,HSG KARIERA,Za našega naročnika  uveljavljeno ime v avtomobilski industriji  iščemo posameznika za zasedbo delovnega mesta Operativni direktor.,upravljanje-svetovanje-vodenje,gorenjska
Gradbeni inženir – vodja gradbišča ,KOLEKTOR CPG d.o.o.,Gradbene inženirje iščemo v družbah Kolektor Koling d.o.o. in Kolektor CPG d.o.o. za potrebe gradbišč po Sloveniji in v Kvarnerju. ,upravljanje-svetovanje-vodenje,gorenjska
Matematiki  računovodje  C# programerji,Seyfor d.o.o.,gitalizacija odpira številna delovna mesta tudi pri nas - razpisanih imamo 5 prostih mest.,upravljanje-svetovanje-vodenje,gorenjska
Vodja operacij (Operations Manager),Raycap d.o.o.,V svoj tim vabimo Operations managerja  ki bi bil s svojim znanjem in izkušnjami pripravljen sprejeti izziv in se osebno ter strokovno razvijati v mednarodnem podjetju.,upravljanje-svetovanje-vodenje,gorenjska
Vodja projektov ,Manpower d.o.o.,Za našega naročnika  uspešno podjetje  ki se ukvarja z digitalizacijo poslovnih procesov  iščemo kandidata za delovno mesto &#39;&#39;Vodja projektov m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,gorenjska
Projektni vodja v farmaciji - junior,Trenkwalder d.o.o.,Naš partner  Porton Pharma Solutions Ltd. je v farmacevtski industriji uveljavljeno podjetje  ki kot pogodbeni partner zagotavlja inovativne  zanesljive in celovite storitve raziskav in razvoja ter proizvodnje. Si želite delovati v ekspertni  mednarodni ekipi in imeti na razpolago opremo  ki je v skladu z najnovejšimi trendi v farmacevtski industriji? Povežite se z nami!,upravljanje-svetovanje-vodenje,gorenjska
Različni profili ,NLB d.d.,V NLB ponujamo svet priložnosti. Za vse  ki ne pristajajo na rutino in se ne bojijo novih izzivov. Za vse  ki so radi del velikih zgodb in vejo  da se te ne napišejo same. Z nami razvijajte svoje potenciale  nadgradite svoje znanje in skupaj se bomo podali novim zmagam naproti.,upravljanje-svetovanje-vodenje,gorenjska
Vodja poprodaje ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  ki deluje kot pooblaščeni prodajalec in serviser vozil priznanih znamk  iščemo motivirane kandidate za prosto delovno mesto „Vodja poprodaje“ m/ž. Če bi se radi pridružili prijetni ekipi  berite dalje. ,upravljanje-svetovanje-vodenje,gorenjska
Vodja programskega inženiringa ,Cosylab d.d.,Iščemo motiviranega in izkušenega vodjo programskega inženiringa  ki se bo pridružil našemu Scientific Services oddelku in prispeval k zagotavljanju celovitih programskih rešitev  ki poganjajo najbolj zapletene in sofisticirane sisteme na svetu  kot so pospeševalniki delcev  velike mreže teleskopov in fuzijski reaktorji. Veselimo se vaše prijave!,upravljanje-svetovanje-vodenje,gorenjska
Vodja trgovine  - SINSAY,LPP FASHION d.o.o.,Tvoja misija: kakovostno vodenje trgovine ter spremljanje poslovnih ciljev blagovne znamke in podjetja  usposabljanje in motiviranje zaposlenih v trgovini ter spremljanje in usmerjanje njihovega kariernega razvoja ...,upravljanje-svetovanje-vodenje,gorenjska
Projektni vodja  v poslovnem področju Plast,ISKRA ISD d.o.o.,Naloge in odgovornosti: priprava CNC stružnic za zagon  struženje kovinskih izdelkov  izvajanje meritev po načrtu  spremljanje kakovosti proizvedenih izdelkov ...,upravljanje-svetovanje-vodenje,gorenjska
Direktor področja Oskrbovalna veriga ,Iskraemeco d.d.,Brez najmanjšega dvoma lahko rečemo  da so visoko motivirani  odgovorni in proaktivni zaposleni glavni razlog za uspeh in razvoj našega podjetja. Razveselimo se vsake nove okrepitve naše ekipe talentiranih in prizadevnih strokovnjakov  ki si vneto prizadevajo za učinkovito reševanje problemov in nenehne izboljšave.,upravljanje-svetovanje-vodenje,gorenjska
Vodja oddelka  Spar Kranjska Gora,Spar Slovenija d.o.o.,Opis del in nalog: vodenje oddelka in zaposlenih na oddelku  skrb za urejenost oddelka ...,upravljanje-svetovanje-vodenje,gorenjska
Vodja projektov ,Tosidos d.o.o.,Zaradi povečanega obsega del iščemo izkušenega in kompetentnegakandidata za delovno mesto:Vodja pojektov,upravljanje-svetovanje-vodenje,gorenjska
Izkušen tehnolog - vodja,REKRUTER jkps d.o.o.,Manjše  tehnološko napredno in razvojno podjetje išče izkušenega tehnologa z vodstvenim potencialom.,upravljanje-svetovanje-vodenje,gorenjska
Inženir industrijske avtomatike – PLC programer,NGEN d.o.o.,V svojo ekipo vabimo novega sodelavca/ko na področju programiranja industrijske avtomatike.,upravljanje-svetovanje-vodenje,gorenjska
Skrbnik orodij – tooling manager ,Iskra Mehanizmi  d.o.o.,Opis del in nalog: kalkulacija SC za plastične kose  tehnična pomoč na projektih  vodenje podprojektov ...,upravljanje-svetovanje-vodenje,gorenjska
Vodjo prodaje ključnim kupcem (Key Account Manager),AD Vita d.o.o.,Kaj so  ključni izzivi? Razvoj novih poslovnih partnerjev in podpora obstoječim partnerjem; ,upravljanje-svetovanje-vodenje,gorenjska
Vodja organizacije dela ,Salax d.o.o.,Svojo prijavo z življenjepisom pošljite na elektronski naslov bettina.rogac@salax.si. Za več informacij smo za vas na voljo na tel. št. 040 585 270.,upravljanje-svetovanje-vodenje,gorenjska
Projektni vodja ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju GRAD d.d. kot projektni vodja. ,upravljanje-svetovanje-vodenje,gorenjska
Administrator ESG IN EU projektov ,Nomago d.o.o.,Si želiš novih kariernih izzivov? Želiš postati del Nomago tima  kjer skupaj z tradicijo  inovacijami  ter kakovostjo gradimo našo blagovno znamko? Imaš izkušnje pri delu z ljudmi in  s sodelovanjem v projektnih skupinah  ter si organiziran in natančen?Prihranili smo mesto za odločnega a prijaznega  iznajdljivega in motiviranega novega sodelavca !,upravljanje-svetovanje-vodenje,gorenjska
HR Business Partner/HR poslovni partner ,Iskraemeco d.d.,Brez najmanjšega dvoma lahko rečemo  da so visoko motivirani  odgovorni in proaktivni zaposleni glavni razlog za uspeh in razvoj našega podjetja. Razveselimo se vsake nove okrepitve naše ekipe talentiranih in prizadevnih strokovnjakov  ki si vneto prizadevajo za učinkovito reševanje problemov in nenehne izboljšave.,upravljanje-svetovanje-vodenje,gorenjska
Vodja linije – preddelavec ,Bosch Rexroth d.o.o.,Si želite dinamičnega in raznolikega dela z vsakodnevnimi izzivi?,upravljanje-svetovanje-vodenje,gorenjska
Vodja prodaje ključnim kupcem ,Salax d.o.o.,V kolikor vas je oglas pritegnil in vas zanima delovno mesto  vas vabimo k prijavi na elektronski naslov ajla.velic@salax.si. Za več informacij o delovnem mestu smo za vas na voljo na tel. št. 040 151 530.,upravljanje-svetovanje-vodenje,gorenjska
Projektni vodja ,Salax d.o.o.,Svojo prijavo z življenjepisom pošljite na elektronski naslov bettina.rogac@salax.si. Za več informacij smo za vas na voljo na tel. št. 040 585 270.,upravljanje-svetovanje-vodenje,gorenjska
Vodja kontrole kakovosti  v Mengšu,Trenkwalder d.o.o.,Naš partner  Porton Pharma Solutions Ltd. je v farmacevtski industriji uveljavljeno podjetje  ki kot pogodbeni partner zagotavlja inovativne  zanesljive in celovite storitve raziskav in razvoja ter proizvodnje. Si želite delovati v ekspertni  mednarodni ekipi in imeti na razpolago opremo  ki je v skladu z najnovejšimi trendi v farmacevtski industriji? Povežite se z nami!,upravljanje-svetovanje-vodenje,gorenjska
Vodja razvojnih projektov,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  inovativno in uspešno podjetje s tradicijo  ki se uvršča med največje in najboljše ponudnike na področju navtike in opreme za šport  iščemo proaktivnega in dobro organiziranega kandidata  ki ima strast do inovativnih produktov in trajnostnega razvoja.,upravljanje-svetovanje-vodenje,gorenjska
Vodja prodajnega področja ,DONIT TESNIT  d.o.o.,V prodajnem oddelku v Medvodah iščemo novega sodelavca (m/ž) na delovnem mestu: VODJA PRODAJNEGA PODROČJA m/ž,upravljanje-svetovanje-vodenje,gorenjska
Vodja operativne priprave del in skladišča,Geoinvest d.o.o.,vne naloge: Odgovarja in skrbi za organizacijske postopke terenskih delavcev  odgovarja in skrbi za organizacijske postopke strojev in opreme  odgovarja in skrbi za organizacijske postopke skladišča podjetja  izvaja razporejanje terenskih delavcev za upravljanje strojev in opreme na terenu.,upravljanje-svetovanje-vodenje,gorenjska
Vodja projekta ,Geoinvest d.o.o.,vne naloge: vodenje  organiziranje in nadzor dela na gradbišču  sodelovanje z naročnikom  nadzorom in izvajalci na gradbiščih  vodenje terminskega plana  opravljanje obračunskih del v skladu s poslovnim procesom podjetja ...Delovni čas od ponedeljka do petka  enoizmesko delo  službeni avtomobil  mobitel  laptop.,upravljanje-svetovanje-vodenje,gorenjska
Vodja finančno računovodske službe,Geoinvest d.o.o.,V svojo ekipo vabimo novega sodelavca za delovno mesto VODJA FINANČNO RAČUNOVODSKE SLUŽBE.,upravljanje-svetovanje-vodenje,gorenjska
Vodja skupine tehnologov ,Atama agencija za zaposlovanje  d.o.o.,Odlična zaposlitvena priložnost za tehnično naravnane posameznike! Za zelo uspešno in globalno priznano podjetje iščemo kandidata  ki bo zasedel delovno mesto Vodja skupine tehnologov!,upravljanje-svetovanje-vodenje,gorenjska
Manager investicijskih projektov ,SIJ d.d.,Glavne naloge izbranega kandidata bodo: Manager investicijskih projektov vodi srednje in zelo zahtevne investicijske projekte ter samostojno opravlja dela in naloge: sklicevanje in vodenje sestankov projektnega tima ter investicijske komisije  zagotavljanje priprave zapisnikov ...,upravljanje-svetovanje-vodenje,gorenjska
Pravnik  v Ljubljani,Trenkwalder d.o.o.,Se učinkovito soočate s pravnimi izzivi  imate dobre organizacijske veščine in si želite dinamičnega delovnega okolja?Pridružite se uspešnemu proizvodnemu podjetja  ki je uveljavljeno tudi na mednarodnih trgih!,upravljanje-svetovanje-vodenje,gorenjska
Različni profili ,Swarco Lea  d.o.o.,Kaj ponujamo svojim zaposlenim: Redno plačilo  delo za nedoločen čas s poskusno dobo 6 mesecev  možnost napredovanje  hibridno delo od doma  karierni razvoj v velikem mednarodnem podjetju  druženja s sodelavci  kava in sadje v pisarni …,upravljanje-svetovanje-vodenje,gorenjska
Projektni vodja ,Rodex d.o.o.,Tvoje odgovornosti bodo: načrtovanje  vodenje  nadziranje in analiziranje projektov  pregled povpraševanj in tehničnih zahtev kupca ter usklajevanje s kupcem..,upravljanje-svetovanje-vodenje,gorenjska
Vodja projekta ,Brinox d.o.o.,Vaše naloge in odgovornosti bodo: samostojno vodenje izvedbe; koordinacija in nadzor nad resursi in nad stroški projektov (dobaviteljev  izvajalcev  podizvajalcev idr.);  koordinacija izvedbe del med stranko  kooperanti in zunanjimi institucijami; organizacija in sodelovanje pri zagonih in montažah.,upravljanje-svetovanje-vodenje,gorenjska
Vodja montaže ,Atama agencija za zaposlovanje  d.o.o.,Se želite preizkusiti v vlogi vodje in hkrati biti operativno vpeti v delo? Ste komunikativna oseba  ki je znana po svoji organizacijski učinkovitosti? Potem izkoristite priložnost in postanite del podjetja  kjer so zadovoljstvo zaposlenih in prijateljski odnosi temelj dela.,upravljanje-svetovanje-vodenje,gorenjska
HR partner za razvoj in upravljanje talentov ,Trenkwalder d.o.o.,Imate strast do HR? Se lahko pohvalite z nekajletnimi izkušnjami s področja coachinga  podpore vodjem in razvoja kadrov?,upravljanje-svetovanje-vodenje,gorenjska
Analitik dela in časa ,Bosch Rexroth d.o.o.,Naloge: določanje in izračunavanje časovnih normativov  sodelovanje pri oblikovanju delovnih mest  preverjanje in optimiranje ergonomije delovnih mest  proaktivno predlaganje in uvajanje izboljšav,upravljanje-svetovanje-vodenje,gorenjska
Različni profili ,LPP FASHION d.o.o.,V svojo sredino vabimo vse  ki vas zanima moda  ste komunikativni ter radi delate v dinamičnem delovnem okolju. Cenimo timsko delo  medsebojno pomoč pri vsakodnevnih izzivih ter usmerjenost h kupcem in skupnim ciljem.,upravljanje-svetovanje-vodenje,gorenjska
Team Lead - Support &amp; Monitoring,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje  iščemo kandidate za delovno mesto &#39;&#39;L2 Support &amp; Monitoring Team Lead m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,gorenjska
DevOps inženir ,Manpower d.o.o.,Za uspešno mednarodno podjetje  ki ponuja inovativne rešitve na področju blockchain tehnologije  iščemo proaktivno in radovedno osebo za delovno mesto &#39;&#39;DevOps inženir m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,gorenjska
Nepremičninski posrednik - celotna Slovenija,RE/MAX  Nepremičninska družba d.o.o.,Iščemo podjetne  pozitivne in proaktivne ljudi  ki imajo radi delo z ljudmi ter nove izzive. S pomočjo preverjenega izobraževalnega programa RE/MAX Univerze usposabljamo novo generacijo nepremičninskih posrednikov.,upravljanje-svetovanje-vodenje,gorenjska
